Subject,Start Date,Start Time,End Date,End Time,Description,Location
"KKK100 drama. ons uke 1",2016-01-06,09:15,2016-01-06,14:00,"Liene Anne Mette","KRS GU 043 teatersal, KRS GU 048 dramasal"
"Booking/16/01/06 KKK100 musikk",2016-01-06,09:15,2016-01-06,15:00,"Andersen Torstein","KRS G1 012"
"KKK100 forelesning",2016-01-07,08:15,2016-01-07,10:00,"Liene Anne Mette","KRS 46 118 aula"
"Booking/16/01/07 KKK100 musikk",2016-01-07,09:15,2016-01-07,15:00,"Andersen Torstein","KRS G1 012, KRS G1 018"
"Booking/16/01/08 KKK100 musikk",2016-01-08,09:15,2016-01-08,15:00,"Andersen Torstein","KRS G1 012"
"-STM100 for 11.01",2016-01-11,08:15,2016-01-11,10:00,"Bjorvand Agnes-Margrethe, Carlsen, Martin, Fennefoss Anne Tove, Kvåle Gunhild, Olsen Anne Karin Vikstøl","KRS B1 006 aud"
"-STM100 for",2016-01-11,12:15,2016-01-11,16:00,"Bjorvand Agnes-Margrethe, Carlsen, Martin, Fennefoss Anne Tove, Kvåle Gunhild, Olsen Anne Karin Vikstøl","KRS B3 007 aud"
"-STM100 2D sem ",2016-01-12,08:15,2016-01-12,16:00,"Heivoll Anita Berge, Olsen Anne Karin Vikstøl, Olsen Thorhild, Wathne Unni","KRS 48 115 sem"
"KKK100 teori 2D uke 2",2016-01-13,12:15,2016-01-13,15:00,"","KRS HU 023 sem"
"KKK100 forelesning",2016-01-14,08:15,2016-01-14,10:00,"Liene Anne Mette","KRS 46 118 aula"
"-2BLU 18.01 (obligatorisk)",2016-01-18,11:15,2016-01-18,12:00,"","KRS B1 001 aud"
"-STM100 for",2016-01-18,12:15,2016-01-18,16:00,"Bjorvand Agnes-Margrethe, Carlsen, Martin, Fennefoss Anne Tove, Kvåle Gunhild, Olsen Anne Karin Vikstøl","KRS B3 007 aud"
"-STM100 2D sem ",2016-01-19,08:15,2016-01-19,16:00,"Heivoll Anita Berge, Olsen Anne Karin Vikstøl, Olsen Thorhild, Wathne Unni","KRS 48 115 sem"
"KKK100 forelesning",2016-01-21,08:15,2016-01-21,10:00,"Liene Anne Mette","KRS 46 118 aula"
"-STM100 2D sem ",2016-03-15,08:15,2016-03-15,16:00,"Heivoll Anita Berge, Olsen Anne Karin Vikstøl, Olsen Thorhild, Wathne Unni","KRS 48 115 sem"
"KKK100 teori uke 11",2016-03-17,09:15,2016-03-17,16:00,"Liene Anne Mette","KRS 46 137 sem, KRS 48 106 sem"
"KKK100 forelesning musikk",2016-03-18,09:15,2016-03-18,11:00,"Liene Anne Mette","KRS B1 001 aud"
"KKK100 forelesning ped",2016-03-18,11:15,2016-03-18,14:00,"Liene Anne Mette","KRS B1 001 aud"
"-STM100 for",2016-04-11,12:15,2016-04-11,16:00,"Bjorvand Agnes-Margrethe, Carlsen, Martin, Fennefoss Anne Tove, Kvåle Gunhild, Olsen Anne Karin Vikstøl","KRS B3 007 aud"
"-STM100 2D sem ",2016-04-12,08:15,2016-04-12,16:00,"Heivoll Anita Berge, Olsen Anne Karin Vikstøl, Olsen Thorhild, Wathne Unni","KRS 48 115 sem"
"KKK100 drama ons uke 15",2016-04-13,08:15,2016-04-13,12:00,"Liene Anne Mette","KRS GU 043 teatersal, KRS GU 048 dramasal"
"Booking/16/04/13 KKK100 musikk",2016-04-13,09:15,2016-04-13,15:00,"Andersen Torstein","KRS G1 012"
"KKK100 forelesning",2016-04-14,08:15,2016-04-14,10:00,"Liene Anne Mette","KRS 46 118 aula"
"Booking/16/04/14 KKK100 musikk",2016-04-14,09:15,2016-04-14,15:00,"Andersen Torstein","KRS G1 012, KRS G1 018"
"KKK100 drama tors uke 15",2016-04-14,12:15,2016-04-14,16:00,"Liene Anne Mette","KRS GU 043 teatersal, KRS GU 048 dramasal"
"KKK100 drama fre uke 15.16.17.18",2016-04-15,08:15,2016-04-15,12:00,"Liene Anne Mette","KRS GU 043 teatersal, KRS GU 048 dramasal"
"Booking/16/04/15 KKK100 musikk",2016-04-15,09:15,2016-04-15,15:00,"Andersen Torstein","KRS G1 012"
"KKK100 forelesning uke 16",2016-04-18,09:15,2016-04-18,12:00,"Liene Anne Mette","KRS B1 006 aud"
"Booking/16/04/18 KKK100 musikk v/TA",2016-04-18,09:15,2016-04-18,16:00,"","KRS G1 004, KRS G1 006, KRS G1 007, KRS G1 008, KRS G1 038, KRS G1 039, KRS G1 041"
"Booking/16/04/19 KKK100 musikk v/TA",2016-04-19,09:15,2016-04-19,16:00,"","KRS G1 004, KRS G1 006, KRS G1 007, KRS G1 008, KRS G1 038, KRS G1 039, KRS G1 041"
"Booking/16/04/20 KKK100 musikk v/TA",2016-04-20,09:15,2016-04-20,16:00,"","KRS G1 004, KRS G1 006, KRS G1 007, KRS G1 008, KRS G1 038, KRS G1 039, KRS G1 041"
