Subject,Start Date,Start Time,End Date,End Time,Description,Location
"'FYS002/Forel/01",2016-01-06,14:15,2016-01-06,16:00,"Gjesteland, Thomas","GRM C2 036 aud"
"'FYS002/forel/02",2016-01-07,14:15,2016-01-07,16:00,"Gjesteland, Thomas","GRM C2 036 aud"
"'MA-156/Forel/BYGG Streaming",2016-01-11,08:15,2016-01-11,10:00,"Oftedahl, Heidi","GRM A2 023 sem, GRM C2 041 aud"
"'FYS118/FYS121/FYS122/Forel/uke 02-11 mandag",2016-01-11,10:15,2016-01-11,12:00,"Hogstad Per Henrik","GRM C2 036 aud"
"'BYG110/Forel/01",2016-01-11,12:15,2016-01-11,14:00,"Nilsen Tom V.","GRM C2 041 aud"
"'BYG110/Øv/01",2016-01-11,14:15,2016-01-11,16:00,"Ditlefsen, Rita","GRM A2 021 sem, GRM A2 023 sem"
"'FYS002/Øv/01",2016-01-11,16:15,2016-01-11,18:00,"Gjesteland, Thomas, Studentassistent FYS002","GRM A2 023 sem, GRM A2 025 sem, GRM A2 027 sem"
"'FYS118/FYS121/FYS122/Forel/uke 02-11 tirsdag",2016-01-12,08:15,2016-01-12,10:00,"Hogstad Per Henrik","GRM C2 036 aud"
"'MA-156/øv/BYGG",2016-01-12,10:15,2016-01-12,12:00,"Oftedahl, Heidi, Studentassistent MA-156 øving ","GRM A2 025 sem, GRM A2 027 sem"
"'FYS118/FYS121/FYS122/Øv/uke 02-18",2016-01-12,12:15,2016-01-12,14:00,"Hogstad Per Henrik","GRM C2 036 aud, GRM C2 042 aud"
"'MA-156/157/159/160/Forel/01 Streaming",2016-01-13,08:15,2016-01-13,10:00,"Nyberg Svein O.","GRM C2 036 aud, GRM C2 041 aud"
"'FYS002/Forel/01",2016-01-13,14:15,2016-01-13,16:00,"Gjesteland, Thomas","GRM C2 036 aud"
"'MA-156/157/159/160/Forel/02 Streaming",2016-01-14,08:15,2016-01-14,10:00,"Nyberg Svein O.","GRM C2 036 aud, GRM C2 041 aud"
"'BYG110/Forel/02",2016-01-14,10:15,2016-01-14,12:00,"Nilsen Tom V.","GRM C2 042 aud"
"'BYG110/Øv/02",2016-01-14,12:15,2016-01-14,14:00,"Ditlefsen, Rita, Studentassistent BYG110","GRM A2 023 sem, GRM A2 025 sem"
"'FYS002/forel/02",2016-01-14,14:15,2016-01-14,16:00,"Gjesteland, Thomas","GRM C2 036 aud"
"'MA-156/Forel/BYGG Streaming",2016-01-18,08:15,2016-01-18,10:00,"Oftedahl, Heidi","GRM A2 023 sem, GRM C2 041 aud"
"'FYS118/FYS121/FYS122/Forel/uke 02-11 mandag",2016-01-18,10:15,2016-01-18,12:00,"Hogstad Per Henrik","GRM C2 036 aud"
"'BYG110/Forel/01",2016-01-18,12:15,2016-01-18,14:00,"Nilsen Tom V.","GRM C2 041 aud"
"'BYG110/Øv/01",2016-01-18,14:15,2016-01-18,16:00,"Ditlefsen, Rita","GRM A2 021 sem, GRM A2 023 sem"
"'FYS002/Øv/01",2016-01-18,16:15,2016-01-18,18:00,"Gjesteland, Thomas, Studentassistent FYS002","GRM A2 023 sem, GRM A2 025 sem, GRM A2 027 sem"
"'FYS118/FYS121/FYS122/Forel/uke 02-11 tirsdag",2016-01-19,08:15,2016-01-19,10:00,"Hogstad Per Henrik","GRM C2 036 aud"
"'MA-156/øv/BYGG",2016-01-19,10:15,2016-01-19,12:00,"Oftedahl, Heidi, Studentassistent MA-156 øving ","GRM A2 025 sem, GRM A2 027 sem"
"'FYS118/FYS121/FYS122/Øv/uke 02-18",2016-01-19,12:15,2016-01-19,14:00,"Hogstad Per Henrik","GRM C2 036 aud, GRM C2 042 aud"
"'MA-156/157/159/160/Forel/01 Streaming",2016-01-20,08:15,2016-01-20,10:00,"Nyberg Svein O.","GRM C2 036 aud, GRM C2 041 aud"
"'FYS002/Forel/01",2016-01-20,14:15,2016-01-20,16:00,"Gjesteland, Thomas","GRM C2 036 aud"
"'MA-156/157/159/160/Forel/02 Streaming",2016-01-21,08:15,2016-01-21,10:00,"Nyberg Svein O.","GRM C2 036 aud, GRM C2 041 aud"
"'BYG110/Forel/02",2016-01-21,10:15,2016-01-21,12:00,"Nilsen Tom V.","GRM C2 042 aud"
"'BYG110/Øv/02",2016-01-21,12:15,2016-01-21,14:00,"Ditlefsen, Rita, Studentassistent BYG110","GRM A2 023 sem, GRM A2 025 sem"
"'FYS002/forel/02",2016-01-21,14:15,2016-01-21,16:00,"Gjesteland, Thomas","GRM C2 036 aud"
"'MA-156/Forel/BYGG Streaming",2016-01-25,08:15,2016-01-25,10:00,"Oftedahl, Heidi","GRM A2 023 sem, GRM C2 041 aud"
"'FYS118/FYS121/FYS122/Forel/uke 02-11 mandag",2016-01-25,10:15,2016-01-25,12:00,"Hogstad Per Henrik","GRM C2 036 aud"
"'BYG110/Forel/01",2016-01-25,12:15,2016-01-25,14:00,"Nilsen Tom V.","GRM C2 041 aud"
"'BYG110/Øv/01",2016-01-25,14:15,2016-01-25,16:00,"Ditlefsen, Rita","GRM A2 021 sem, GRM A2 023 sem"
"'FYS002/Øv/01",2016-01-25,16:15,2016-01-25,18:00,"Gjesteland, Thomas, Studentassistent FYS002","GRM A2 023 sem, GRM A2 025 sem, GRM A2 027 sem"
"'FYS118/FYS121/FYS122/Forel/uke 02-11 tirsdag",2016-01-26,08:15,2016-01-26,10:00,"Hogstad Per Henrik","GRM C2 036 aud"
"'MA-156/øv/BYGG",2016-01-26,10:15,2016-01-26,12:00,"Oftedahl, Heidi, Studentassistent MA-156 øving ","GRM A2 025 sem, GRM A2 027 sem"
"'FYS118/FYS121/FYS122/Øv/uke 02-18",2016-01-26,12:15,2016-01-26,14:00,"Hogstad Per Henrik","GRM C2 036 aud, GRM C2 042 aud"
"'MA-156/157/159/160/Forel/01 Streaming",2016-01-27,08:15,2016-01-27,10:00,"Nyberg Svein O.","GRM C2 036 aud, GRM C2 041 aud"
"'FYS002/Forel/01",2016-01-27,14:15,2016-01-27,16:00,"Gjesteland, Thomas","GRM C2 036 aud"
"'MA-156/157/159/160/Forel/02 Streaming",2016-01-28,08:15,2016-01-28,10:00,"Nyberg Svein O.","GRM C2 036 aud, GRM C2 041 aud"
"'BYG110/Forel/02",2016-01-28,10:15,2016-01-28,12:00,"Nilsen Tom V.","GRM C2 042 aud"
"'BYG110/Øv/02",2016-01-28,12:15,2016-01-28,14:00,"Ditlefsen, Rita, Studentassistent BYG110","GRM A2 023 sem, GRM A2 025 sem"
"'FYS002/forel/02",2016-01-28,14:15,2016-01-28,16:00,"Gjesteland, Thomas","GRM C2 036 aud"
"'MA-156/Forel/BYGG Streaming",2016-02-01,08:15,2016-02-01,10:00,"Oftedahl, Heidi","GRM A2 023 sem, GRM C2 041 aud"
"'FYS118/FYS121/FYS122/Forel/uke 02-11 mandag",2016-02-01,10:15,2016-02-01,12:00,"Hogstad Per Henrik","GRM C2 036 aud"
"'BYG110/Forel/01",2016-02-01,12:15,2016-02-01,14:00,"Nilsen Tom V.","GRM C2 041 aud"
"'BYG110/Øv/01",2016-02-01,14:15,2016-02-01,16:00,"Ditlefsen, Rita","GRM A2 021 sem, GRM A2 023 sem"
"'FYS002/Øv/01 uke 5",2016-02-01,16:15,2016-02-01,18:00,"Gjesteland, Thomas, Studentassistent FYS002","GRM A2 023 sem, GRM A2 027 sem, GRM A3 025 sem VER"
"'FYS118/FYS121/FYS122/Forel/uke 02-11 tirsdag",2016-02-02,08:15,2016-02-02,10:00,"Hogstad Per Henrik","GRM C2 036 aud"
"'MA-156/øv/BYGG",2016-02-02,10:15,2016-02-02,12:00,"Oftedahl, Heidi, Studentassistent MA-156 øving ","GRM A2 025 sem, GRM A2 027 sem"
"'FYS118/FYS121/FYS122/Øv/uke 02-18",2016-02-02,12:15,2016-02-02,14:00,"Hogstad Per Henrik","GRM C2 036 aud, GRM C2 042 aud"
