Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-SPA106",2016-01-07,09:15,2016-01-07,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA106",2016-01-11,09:15,2016-01-11,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA106",2016-01-14,09:15,2016-01-14,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA106",2016-01-18,09:15,2016-01-18,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA106",2016-01-21,09:15,2016-01-21,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA106",2016-01-25,09:15,2016-01-25,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA106",2016-01-28,09:15,2016-01-28,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA106",2016-02-01,09:15,2016-02-01,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA106",2016-02-04,09:15,2016-02-04,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA106",2016-02-08,09:15,2016-02-08,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA106",2016-02-11,09:15,2016-02-11,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA106",2016-02-15,09:15,2016-02-15,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA106",2016-02-18,09:15,2016-02-18,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA106",2016-02-22,09:15,2016-02-22,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA106",2016-02-25,09:15,2016-02-25,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-Praksis uke 9 og 10",2016-02-29,08:15,2016-02-29,16:00,"",""
"-Praksis uke 9 og 10",2016-03-01,08:15,2016-03-01,16:00,"",""
"-Praksis uke 9 og 10",2016-03-02,08:15,2016-03-02,16:00,"",""
"-Praksis uke 9 og 10",2016-03-03,08:15,2016-03-03,16:00,"",""
"-Praksis uke 9 og 10",2016-03-04,08:15,2016-03-04,16:00,"",""
"-Praksis uke 9 og 10",2016-03-07,08:15,2016-03-07,16:00,"",""
"-Praksis uke 9 og 10",2016-03-08,08:15,2016-03-08,16:00,"",""
"-Praksis uke 9 og 10",2016-03-09,08:15,2016-03-09,16:00,"",""
"-Praksis uke 9 og 10",2016-03-10,08:15,2016-03-10,16:00,"",""
"-Praksis uke 9 og 10",2016-03-11,08:15,2016-03-11,16:00,"",""
"-SPA106",2016-03-14,09:15,2016-03-14,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA106",2016-03-17,09:15,2016-03-17,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA106",2016-03-31,09:15,2016-03-31,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA106",2016-04-04,09:15,2016-04-04,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA106",2016-04-07,09:15,2016-04-07,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA106",2016-04-11,09:15,2016-04-11,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA106",2016-04-14,09:15,2016-04-14,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA106",2016-04-18,09:15,2016-04-18,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA106",2016-04-21,09:15,2016-04-21,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA106",2016-04-25,09:15,2016-04-25,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA106",2016-04-28,09:15,2016-04-28,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA106",2016-05-02,09:15,2016-05-02,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
