Subject,Start Date,Start Time,End Date,End Time,Description,Location
"MUK402/MUK109/MUK203/MU-151/MU-218/ MU-300/MU-303/MUK307 felles klaver",2016-01-07,15:15,2016-01-07,17:00,"Juva Tellef","KRS K1 041/Samspillsal 1"
"MUK501/MUK401 ons",2016-01-13,10:15,2016-01-13,12:00,"Farstad Per Kjetil, Rolfhamre Robin","KRS K1 037/Samspillsal 3"
"MUK402/MUK203/MU-151/MU-210/MU300/MU500 felles gitar",2016-01-13,12:15,2016-01-13,13:00,"Farstad Per Kjetil","KRS K1 041/Samspillsal 1"
"MUK402/MUK109/MUK203/MU-151/MU-218/ MU-300/MU-303/MUK307 felles klaver",2016-01-14,15:15,2016-01-14,17:00,"Juva Tellef","KRS K1 041/Samspillsal 1"
"MUK402/MUK203/MU-151/MUK109 felles fløyte",2016-01-15,09:15,2016-01-15,11:00,"Schau Jørn","KRS K1 041/Samspillsal 1"
"MUK402/MUK109/MUK203/MUK307/MU-151/MU-218/MU-303 felles sang",2016-01-15,11:15,2016-01-15,12:00,"Myhrstad Birte","KRS K1 041/Samspillsal 1"
"MUK501/MUK401 ons",2016-01-20,10:15,2016-01-20,12:00,"Farstad Per Kjetil, Rolfhamre Robin","KRS K1 037/Samspillsal 3"
"MUK402/MUK203/MU-151/MU-210/MU300/MU500 felles gitar",2016-01-20,12:15,2016-01-20,13:00,"Farstad Per Kjetil","KRS K1 041/Samspillsal 1"
"MUK402/MUK109/MUK203/MU-151/MU-218/ MU-300/MU-303/MUK307 felles klaver",2016-01-21,15:15,2016-01-21,17:00,"Juva Tellef","KRS K1 041/Samspillsal 1"
"MUK402/MUK203/MU-151/MUK109 felles fløyte",2016-01-22,09:15,2016-01-22,11:00,"Schau Jørn","KRS K1 041/Samspillsal 1"
"MUK402/MUK109/MUK203/MUK307/MU-151/MU-218/MU-303 felles sang",2016-01-22,11:15,2016-01-22,12:00,"Myhrstad Birte","KRS K1 041/Samspillsal 1"
"MUK501/MUK401 ons",2016-01-27,10:15,2016-01-27,12:00,"Farstad Per Kjetil, Rolfhamre Robin","KRS K1 037/Samspillsal 3"
"MUK402/MUK203/MU-151/MU-210/MU300/MU500 felles gitar",2016-01-27,12:15,2016-01-27,13:00,"Farstad Per Kjetil","KRS K1 041/Samspillsal 1"
"MUK402/MUK109/MUK203/MU-151/MU-218/ MU-300/MU-303/MUK307 felles klaver",2016-01-28,15:15,2016-01-28,17:00,"Juva Tellef","KRS K1 041/Samspillsal 1"
"MUK402/MUK203/MU-151/MUK109 felles fløyte",2016-01-29,09:15,2016-01-29,11:00,"Schau Jørn","KRS K1 041/Samspillsal 1"
"MUK402/MUK109/MUK203/MUK307/MU-151/MU-218/MU-303 felles sang",2016-01-29,11:15,2016-01-29,12:00,"Myhrstad Birte","KRS K1 041/Samspillsal 1"
"MUK501/MUK401 ons",2016-02-03,10:15,2016-02-03,12:00,"Farstad Per Kjetil, Rolfhamre Robin","KRS K1 037/Samspillsal 3"
"MUK402/MUK203/MU-151/MU-210/MU300/MU500 felles gitar",2016-02-03,12:15,2016-02-03,13:00,"Farstad Per Kjetil","KRS K1 041/Samspillsal 1"
"MUK402/MUK109/MUK203/MU-151/MU-218/ MU-300/MU-303/MUK307 felles klaver",2016-02-04,15:15,2016-02-04,17:00,"Juva Tellef","KRS K1 041/Samspillsal 1"
"MUK402/MUK203/MU-151/MUK109 felles fløyte",2016-02-05,09:15,2016-02-05,11:00,"Schau Jørn","KRS K1 041/Samspillsal 1"
"MUK402/MUK109/MUK203/MUK307/MU-151/MU-218/MU-303 felles sang",2016-02-05,11:15,2016-02-05,12:00,"Myhrstad Birte","KRS K1 041/Samspillsal 1"
"MUK501/MUK401 ons",2016-02-10,10:15,2016-02-10,12:00,"Farstad Per Kjetil, Rolfhamre Robin","KRS K1 037/Samspillsal 3"
"MUK402/MUK203/MU-151/MU-210/MU300/MU500 felles gitar",2016-02-10,12:15,2016-02-10,13:00,"Farstad Per Kjetil","KRS K1 041/Samspillsal 1"
"MUK402/MUK109/MUK203/MU-151/MU-218/ MU-300/MU-303/MUK307 felles klaver",2016-02-11,15:15,2016-02-11,17:00,"Juva Tellef","KRS K1 041/Samspillsal 1"
"MUK402/MUK203/MU-151/MUK109 felles fløyte",2016-02-12,09:15,2016-02-12,11:00,"Schau Jørn","KRS K1 041/Samspillsal 1"
"MUK402/MUK109/MUK203/MUK307/MU-151/MU-218/MU-303 felles sang",2016-02-12,11:15,2016-02-12,12:00,"Myhrstad Birte","KRS K1 041/Samspillsal 1"
"MUK501/MUK401 ons",2016-02-24,10:15,2016-02-24,12:00,"Farstad Per Kjetil, Rolfhamre Robin","KRS K1 037/Samspillsal 3"
"MUK402/MUK203/MU-151/MU-210/MU300/MU500 felles gitar",2016-02-24,12:15,2016-02-24,13:00,"Farstad Per Kjetil","KRS K1 041/Samspillsal 1"
"MUK402/MUK109/MUK203/MU-151/MU-218/ MU-300/MU-303/MUK307 felles klaver",2016-02-25,15:15,2016-02-25,17:00,"Juva Tellef","KRS K1 041/Samspillsal 1"
"MUK402/MUK203/MU-151/MUK109 felles fløyte",2016-02-26,09:15,2016-02-26,11:00,"Schau Jørn","KRS K1 041/Samspillsal 1"
"MUK402/MUK109/MUK203/MUK307/MU-151/MU-218/MU-303 felles sang",2016-02-26,11:15,2016-02-26,12:00,"Myhrstad Birte","KRS K1 041/Samspillsal 1"
"MUK501/MUK401 ons",2016-03-02,10:15,2016-03-02,12:00,"Farstad Per Kjetil, Rolfhamre Robin","KRS K1 037/Samspillsal 3"
"MUK402/MUK203/MU-151/MU-210/MU300/MU500 felles gitar",2016-03-02,12:15,2016-03-02,13:00,"Farstad Per Kjetil","KRS K1 041/Samspillsal 1"
"MUK402/MUK109/MUK203/MU-151/MU-218/ MU-300/MU-303/MUK307 felles klaver",2016-03-03,15:15,2016-03-03,17:00,"Juva Tellef","KRS K1 041/Samspillsal 1"
"MUK402/MUK203/MU-151/MUK109 felles fløyte",2016-03-04,09:15,2016-03-04,11:00,"Schau Jørn","KRS K1 041/Samspillsal 1"
"MUK402/MUK109/MUK203/MUK307/MU-151/MU-218/MU-303 felles sang",2016-03-04,11:15,2016-03-04,12:00,"Myhrstad Birte","KRS K1 041/Samspillsal 1"
"MUK501/MUK401 ons",2016-03-16,10:15,2016-03-16,12:00,"Farstad Per Kjetil, Rolfhamre Robin","KRS K1 037/Samspillsal 3"
"MUK402/MUK109/MUK203/MU-151/MU-218/ MU-300/MU-303/MUK307 felles klaver",2016-03-17,15:15,2016-03-17,17:00,"Juva Tellef","KRS K1 041/Samspillsal 1"
"MUK402/MUK203/MU-151/MUK109 felles fløyte",2016-03-18,09:15,2016-03-18,11:00,"Schau Jørn","KRS K1 041/Samspillsal 1"
"MUK402/MUK109/MUK203/MUK307/MU-151/MU-218/MU-303 felles sang",2016-03-18,11:15,2016-03-18,12:00,"Myhrstad Birte","KRS K1 041/Samspillsal 1"
"MUK501/MUK401 ons",2016-03-30,10:15,2016-03-30,12:00,"Farstad Per Kjetil, Rolfhamre Robin","KRS K1 037/Samspillsal 3"
"MUK402/MUK203/MU-151/MU-210/MU300/MU500 felles gitar",2016-03-30,12:15,2016-03-30,13:00,"Farstad Per Kjetil","KRS K1 041/Samspillsal 1"
"MUK402/MUK109/MUK203/MU-151/MU-218/ MU-300/MU-303/MUK307 felles klaver",2016-03-31,15:15,2016-03-31,17:00,"Juva Tellef","KRS K1 041/Samspillsal 1"
"MUK402/MUK203/MU-151/MUK109 felles fløyte",2016-04-01,09:15,2016-04-01,11:00,"Schau Jørn","KRS K1 041/Samspillsal 1"
"MUK402/MUK109/MUK203/MUK307/MU-151/MU-218/MU-303 felles sang",2016-04-01,11:15,2016-04-01,12:00,"Myhrstad Birte","KRS K1 041/Samspillsal 1"
"MUK501/MUK401 ons",2016-04-06,10:15,2016-04-06,12:00,"Farstad Per Kjetil, Rolfhamre Robin","KRS K1 037/Samspillsal 3"
"MUK402/MUK203/MU-151/MU-210/MU300/MU500 felles gitar",2016-04-06,12:15,2016-04-06,13:00,"Farstad Per Kjetil","KRS K1 041/Samspillsal 1"
"MUK402/MUK109/MUK203/MU-151/MU-218/ MU-300/MU-303/MUK307 felles klaver",2016-04-07,15:15,2016-04-07,17:00,"Juva Tellef","KRS K1 041/Samspillsal 1"
"MUK402/MUK203/MU-151/MUK109 felles fløyte",2016-04-08,09:15,2016-04-08,11:00,"Schau Jørn","KRS K1 041/Samspillsal 1"
"MUK402/MUK109/MUK203/MUK307/MU-151/MU-218/MU-303 felles sang",2016-04-08,11:15,2016-04-08,12:00,"Myhrstad Birte","KRS K1 041/Samspillsal 1"
"MUK501/MUK401 ons",2016-04-13,10:15,2016-04-13,12:00,"Farstad Per Kjetil, Rolfhamre Robin","KRS K1 037/Samspillsal 3"
"MUK402/MUK203/MU-151/MU-210/MU300/MU500 felles gitar",2016-04-13,12:15,2016-04-13,13:00,"Farstad Per Kjetil","KRS K1 041/Samspillsal 1"
"MUK402/MUK109/MUK203/MU-151/MU-218/ MU-300/MU-303/MUK307 felles klaver",2016-04-14,15:15,2016-04-14,17:00,"Juva Tellef","KRS K1 041/Samspillsal 1"
"MUK402/MUK203/MU-151/MUK109 felles fløyte",2016-04-15,09:15,2016-04-15,11:00,"Schau Jørn","KRS K1 041/Samspillsal 1"
"MUK402/MUK109/MUK203/MUK307/MU-151/MU-218/MU-303 felles sang",2016-04-15,11:15,2016-04-15,12:00,"Myhrstad Birte","KRS K1 041/Samspillsal 1"
"MUK501/MUK401 ons",2016-04-20,10:15,2016-04-20,12:00,"Farstad Per Kjetil, Rolfhamre Robin","KRS K1 037/Samspillsal 3"
"MUK402/MUK203/MU-151/MU-210/MU300/MU500 felles gitar",2016-04-20,12:15,2016-04-20,13:00,"Farstad Per Kjetil","KRS K1 041/Samspillsal 1"
"MUK402/MUK109/MUK203/MU-151/MU-218/ MU-300/MU-303/MUK307 felles klaver",2016-04-21,15:15,2016-04-21,17:00,"Juva Tellef","KRS K1 041/Samspillsal 1"
