Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-NO-400 for (litt)",2015-08-12,09:15,2015-08-12,11:00,"Wiland Sverre","CK F2 006 sem"
"-NO-400 for (språk)",2015-08-12,13:15,2015-08-12,15:00,"Wiland Sverre","CK F2 006 sem"
"-NO-403 for",2015-08-18,13:15,2015-08-18,15:00,"Markussen Bjarne","CK 46 135 sem"
"-NO-403 sem",2015-08-18,15:15,2015-08-18,16:00,"Markussen Bjarne","CK 46 135 sem"
"-NO-400 for (litt)",2015-08-19,09:15,2015-08-19,11:00,"Wiland Sverre","CK F2 006 sem"
"-NO-400 for (språk)",2015-08-19,13:15,2015-08-19,15:00,"Wiland Sverre","CK F2 006 sem"
"-NO-403 for",2015-08-25,13:15,2015-08-25,15:00,"Markussen Bjarne","CK 46 135 sem"
"-NO-403 sem",2015-08-25,15:15,2015-08-25,16:00,"Markussen Bjarne","CK 46 135 sem"
"-NO-400 for (litt)",2015-08-26,09:15,2015-08-26,11:00,"Wiland Sverre","CK F2 006 sem"
"-NO-400 for (språk)",2015-08-26,13:15,2015-08-26,15:00,"Wiland Sverre","CK F2 006 sem"
"-NO-403 for",2015-09-01,13:15,2015-09-01,15:00,"Markussen Bjarne","CK 46 135 sem"
"-NO-403 sem",2015-09-01,15:15,2015-09-01,16:00,"Markussen Bjarne","CK 46 135 sem"
"-NO-400 for (litt)",2015-09-02,09:15,2015-09-02,11:00,"Wiland Sverre","CK F2 006 sem"
"-NO-400 for (språk)",2015-09-02,13:15,2015-09-02,15:00,"Wiland Sverre","CK F2 006 sem"
"-NO-403 for",2015-09-08,13:15,2015-09-08,15:00,"Markussen Bjarne","CK 46 135 sem"
"-NO-403 sem",2015-09-08,15:15,2015-09-08,16:00,"Markussen Bjarne","CK 46 135 sem"
"-NO-400 for (litt)",2015-09-09,09:15,2015-09-09,11:00,"Wiland Sverre","CK F2 006 sem"
"-NO-400 for (språk)",2015-09-09,13:15,2015-09-09,15:00,"Wiland Sverre","CK F2 006 sem"
"-NO-403 for",2015-09-15,13:15,2015-09-15,15:00,"Markussen Bjarne","CK 46 135 sem"
"-NO-403 sem",2015-09-15,15:15,2015-09-15,16:00,"Markussen Bjarne","CK 46 135 sem"
"-NO-400 for (litt)",2015-09-16,09:15,2015-09-16,11:00,"Wiland Sverre","CK F2 006 sem"
"-NO-400 for (språk)",2015-09-16,13:15,2015-09-16,15:00,"Wiland Sverre","CK F2 006 sem"
"-NO-403 for",2015-09-22,13:15,2015-09-22,15:00,"Markussen Bjarne","CK 46 135 sem"
"-NO-403 sem",2015-09-22,15:15,2015-09-22,16:00,"Markussen Bjarne","CK 46 135 sem"
"-NO-400 for (litt)",2015-09-23,09:15,2015-09-23,11:00,"Wiland Sverre","CK F2 006 sem"
"-NO-400 for (språk)",2015-09-23,13:15,2015-09-23,15:00,"Wiland Sverre","CK F2 006 sem"
"-NO-403 for",2015-10-06,13:15,2015-10-06,15:00,"Markussen Bjarne","CK 46 135 sem"
"-NO-403 sem",2015-10-06,15:15,2015-10-06,16:00,"Markussen Bjarne","CK 46 135 sem"
"-NO-400 for (litt)",2015-10-07,09:15,2015-10-07,11:00,"Wiland Sverre","CK F2 006 sem"
"-NO-400 for (språk)",2015-10-07,13:15,2015-10-07,15:00,"Wiland Sverre","CK F2 006 sem"
"-NO-403 for",2015-10-13,13:15,2015-10-13,15:00,"Markussen Bjarne","CK 46 135 sem"
"-NO-403 sem",2015-10-13,15:15,2015-10-13,16:00,"Markussen Bjarne","CK 46 135 sem"
"-NO-400 for (litt)",2015-10-14,09:15,2015-10-14,11:00,"Wiland Sverre","CK F2 006 sem"
"-NO-400 for (språk)",2015-10-14,13:15,2015-10-14,15:00,"Wiland Sverre","CK F2 006 sem"
"-NO-403 for",2015-10-20,13:15,2015-10-20,15:00,"Markussen Bjarne","CK 46 135 sem"
"-NO-403 sem",2015-10-20,15:15,2015-10-20,16:00,"Markussen Bjarne","CK 46 135 sem"
"-NO-400 for (litt)",2015-10-21,09:15,2015-10-21,11:00,"Wiland Sverre","CK F2 006 sem"
"-NO-400 for (språk)",2015-10-21,13:15,2015-10-21,15:00,"Wiland Sverre","CK F2 006 sem"
"-NO-403 for",2015-10-27,13:15,2015-10-27,15:00,"Markussen Bjarne","CK 46 135 sem"
"-NO-403 sem",2015-10-27,15:15,2015-10-27,16:00,"Markussen Bjarne","CK 46 135 sem"
"-NO-400 for (litt)",2015-10-28,09:15,2015-10-28,11:00,"Wiland Sverre","CK F2 006 sem"
"-NO-400 for (språk)",2015-10-28,13:15,2015-10-28,15:00,"Wiland Sverre","CK F2 006 sem"
"-NO-403 for",2015-11-03,13:15,2015-11-03,15:00,"Markussen Bjarne","CK 46 135 sem"
"-NO-403 sem",2015-11-03,15:15,2015-11-03,16:00,"Markussen Bjarne","CK 46 135 sem"
"-NO-400 for (litt)",2015-11-04,09:15,2015-11-04,11:00,"Wiland Sverre","CK F2 006 sem"
"-NO-400 for (språk)",2015-11-04,13:15,2015-11-04,15:00,"Wiland Sverre","CK F2 006 sem"
"-NO-403 for",2015-11-10,13:15,2015-11-10,15:00,"Markussen Bjarne","CK 46 135 sem"
"-NO-403 sem",2015-11-10,15:15,2015-11-10,16:00,"Markussen Bjarne","CK 46 135 sem"
"-NO-400 for (litt)",2015-11-11,09:15,2015-11-11,11:00,"Wiland Sverre","CK F2 006 sem"
"-NO-400 for (språk)",2015-11-11,13:15,2015-11-11,15:00,"Wiland Sverre","CK F2 006 sem"
"-NO-403 for",2015-11-17,13:15,2015-11-17,15:00,"Markussen Bjarne","CK 46 135 sem"
"-NO-403 sem",2015-11-17,15:15,2015-11-17,16:00,"Markussen Bjarne","CK 46 135 sem"
