Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-KR-210 for",2015-08-13,13:15,2015-08-13,16:00,"Shults F. LeRon","CK 48 114 sem"
"-EX-100 for filosofi ",2015-08-17,12:15,2015-08-17,14:00,"Vaags Ralph Henk","CK B1 018 aud"
"-EX-102 foreles",2015-08-17,15:15,2015-08-17,17:00,"Løkke Håvard","CK B1 006 aud"
"-EX-100 for etikk ",2015-08-18,12:15,2015-08-18,14:00,"Løkke Håvard","CK B1 018 aud"
"-EX-102/101/105 vitenskapsfilosofi",2015-08-18,15:15,2015-08-18,17:00,"Vaags Ralph Henk","CK 46 118 aula/aud"
"-KR-210 for",2015-08-20,13:15,2015-08-20,16:00,"Shults F. LeRon","CK 48 114 sem"
"-EX-100 for filosofi ",2015-08-24,12:15,2015-08-24,14:00,"Vaags Ralph Henk","CK B1 018 aud"
"-EX-102 foreles",2015-08-24,15:15,2015-08-24,17:00,"Løkke Håvard","CK B1 006 aud"
"-EX-100 for etikk ",2015-08-25,12:15,2015-08-25,14:00,"Løkke Håvard","CK B1 018 aud"
"-EX-102/101/105 vitenskapsfilosofi",2015-08-25,15:15,2015-08-25,17:00,"Vaags Ralph Henk","CK 46 118 aula/aud"
"-KR-210 for",2015-08-27,13:15,2015-08-27,16:00,"Shults F. LeRon","CK 48 114 sem"
"-EX-100 for filosofi ",2015-08-31,12:15,2015-08-31,14:00,"Vaags Ralph Henk","CK B1 018 aud"
"-EX-102 foreles",2015-08-31,15:15,2015-08-31,17:00,"Løkke Håvard","CK B1 006 aud"
"-EX-100 for etikk ",2015-09-01,12:15,2015-09-01,14:00,"Løkke Håvard","CK B1 018 aud"
"-EX-102/101/105 vitenskapsfilosofi",2015-09-01,15:15,2015-09-01,17:00,"Vaags Ralph Henk","CK 46 118 aula/aud"
"-KR-210 for",2015-09-03,13:15,2015-09-03,16:00,"Shults F. LeRon","CK 48 114 sem"
"-EX-102 foreles",2015-09-07,15:15,2015-09-07,17:00,"Løkke Håvard","CK B1 006 aud"
"-EX-100 for etikk ",2015-09-08,12:15,2015-09-08,14:00,"Løkke Håvard","CK B1 018 aud"
"-KR-210 for",2015-09-10,13:15,2015-09-10,16:00,"Shults F. LeRon","CK 48 114 sem"
"-EX-100 for filosofi ",2015-09-14,12:15,2015-09-14,14:00,"Vaags Ralph Henk","CK B1 018 aud"
"-EX-102 foreles",2015-09-14,15:15,2015-09-14,17:00,"Løkke Håvard","CK B1 006 aud"
"-EX-100 for etikk ",2015-09-15,12:15,2015-09-15,14:00,"Løkke Håvard","CK B1 018 aud"
"-EX-102/101/105 vitenskapsfilosofi",2015-09-15,15:15,2015-09-15,17:00,"Vaags Ralph Henk","CK 46 118 aula/aud"
"-KR-210 for",2015-09-17,13:15,2015-09-17,16:00,"Shults F. LeRon","CK 48 114 sem"
"-EX-100 for filosofi ",2015-09-21,12:15,2015-09-21,14:00,"Vaags Ralph Henk","CK B1 018 aud"
"-EX-102 foreles",2015-09-21,15:15,2015-09-21,17:00,"Løkke Håvard","CK B1 006 aud"
