Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-PED128  sem bac",2015-08-12,12:15,2015-08-12,15:00,"Grythe Jon","CK F1 031 sem"
"-PED148 for",2015-08-13,10:15,2015-08-13,12:00,"Dalehefte Inger Marie, Rousseau Liv Grendstad, Sæbø Grethe Ingebrigtsvold","CK B2 004 aud"
"-PED148 sem bac",2015-08-13,12:15,2015-08-13,15:00,"Sæbø Grethe Ingebrigtsvold","CK F1 031 sem"
"-PED148 gr bac",2015-08-13,15:15,2015-08-13,17:00,"Sæbø Grethe Ingebrigtsvold","CK F2 021, CK F2 022, CK F2 026, CK F2 023, CK F2 024"
"-PED128 for",2015-08-19,10:15,2015-08-19,12:00,"Grythe Jon, Haraldstad Åse","CK B1 006 aud"
"-PED128  sem bac",2015-08-19,12:15,2015-08-19,15:00,"Grythe Jon","CK F1 031 sem"
"-PED148 for",2015-08-20,10:15,2015-08-20,12:00,"Dalehefte Inger Marie, Rousseau Liv Grendstad, Sæbø Grethe Ingebrigtsvold","CK B2 004 aud"
"-PED148 sem bac",2015-08-20,12:15,2015-08-20,15:00,"Sæbø Grethe Ingebrigtsvold","CK F1 031 sem"
"-PED148 gr bac",2015-08-20,15:15,2015-08-20,17:00,"Sæbø Grethe Ingebrigtsvold","CK F2 021, CK F2 022, CK F2 026, CK F2 023, CK F2 024"
"-PED128 for",2015-08-26,10:15,2015-08-26,12:00,"Grythe Jon, Haraldstad Åse","CK B1 006 aud"
"-PED128  sem bac",2015-08-26,12:15,2015-08-26,15:00,"Grythe Jon","CK F1 031 sem"
"-PED148 for",2015-08-27,10:15,2015-08-27,12:00,"Dalehefte Inger Marie, Rousseau Liv Grendstad, Sæbø Grethe Ingebrigtsvold","CK B2 004 aud"
"-PED148 sem bac",2015-08-27,12:15,2015-08-27,15:00,"Sæbø Grethe Ingebrigtsvold","CK F1 031 sem"
"-PED148 gr bac",2015-08-27,15:15,2015-08-27,17:00,"Sæbø Grethe Ingebrigtsvold","CK F2 021, CK F2 022, CK F2 026, CK F2 023, CK F2 024"
"-PED128 for",2015-09-02,10:15,2015-09-02,12:00,"Grythe Jon, Haraldstad Åse","CK B1 006 aud"
"-PED128  sem bac",2015-09-02,12:15,2015-09-02,15:00,"Grythe Jon","CK F1 031 sem"
"-PED148 for",2015-09-03,10:15,2015-09-03,12:00,"Dalehefte Inger Marie, Rousseau Liv Grendstad, Sæbø Grethe Ingebrigtsvold","CK B2 004 aud"
"-PED148 sem bac",2015-09-03,12:15,2015-09-03,15:00,"Sæbø Grethe Ingebrigtsvold","CK F1 031 sem"
