Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-EX-100 for filosofi ",2015-08-17,12:15,2015-08-17,14:00,"Vaags Ralph Henk","CK B1 018 aud"
"-EX-100 for etikk ",2015-08-18,12:15,2015-08-18,14:00,"Løkke Håvard","CK B1 018 aud"
".JU-300/JU-207 for ",2015-08-20,09:15,2015-08-20,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-300/JU-207 gr ",2015-08-20,12:15,2015-08-20,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
"-EX-100 for filosofi ",2015-08-24,12:15,2015-08-24,14:00,"Vaags Ralph Henk","CK B1 018 aud"
"-EX-100 for etikk ",2015-08-25,12:15,2015-08-25,14:00,"Løkke Håvard","CK B1 018 aud"
".JU-300/JU-207 for ",2015-08-27,09:15,2015-08-27,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-300/JU-207 gr ",2015-08-27,12:15,2015-08-27,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
"-EX-100 for filosofi ",2015-08-31,12:15,2015-08-31,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-204 for",2015-09-01,10:15,2015-09-01,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-09-01,12:15,2015-09-01,14:00,"Løkke Håvard","CK B1 018 aud"
".JU-300/JU-207 for ",2015-09-03,09:15,2015-09-03,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-300/JU-207 gr ",2015-09-03,12:15,2015-09-03,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".UT-204 for",2015-09-08,10:15,2015-09-08,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-09-08,12:15,2015-09-08,14:00,"Løkke Håvard","CK B1 018 aud"
".JU-300/JU-207 for ",2015-09-10,09:15,2015-09-10,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-300/JU-207 gr ",2015-09-10,12:15,2015-09-10,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
"-EX-100 for filosofi ",2015-09-14,12:15,2015-09-14,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-204 for",2015-09-15,10:15,2015-09-15,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-09-15,12:15,2015-09-15,14:00,"Løkke Håvard","CK B1 018 aud"
".JU-300/JU-207 for ",2015-09-17,09:15,2015-09-17,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-300/JU-207 gr ",2015-09-17,12:15,2015-09-17,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
"-EX-100 for filosofi ",2015-09-21,12:15,2015-09-21,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-204 for",2015-09-22,10:15,2015-09-22,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-09-22,12:15,2015-09-22,14:00,"Løkke Håvard","CK B1 018 aud"
".JU-300/JU-207 for ",2015-09-24,09:15,2015-09-24,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-300/JU-207 gr ",2015-09-24,12:15,2015-09-24,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
"-EX-100 for filosofi ",2015-09-28,12:15,2015-09-28,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-204 for",2015-09-29,10:15,2015-09-29,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for filosofi ",2015-10-05,12:15,2015-10-05,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-204 for",2015-10-06,10:15,2015-10-06,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-10-06,12:15,2015-10-06,14:00,"Løkke Håvard","CK B1 018 aud"
".JU-300/JU-207 for ",2015-10-08,09:15,2015-10-08,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-300/JU-207 gr ",2015-10-08,12:15,2015-10-08,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".UT-204 for",2015-10-13,10:15,2015-10-13,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-10-13,12:15,2015-10-13,14:00,"Løkke Håvard","CK B1 018 aud"
".JU-300/JU-207 for ",2015-10-15,09:15,2015-10-15,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-300/JU-207 gr ",2015-10-15,12:15,2015-10-15,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
"-EX-100 for filosofi ",2015-10-19,12:15,2015-10-19,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-204 for",2015-10-20,10:15,2015-10-20,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-10-20,12:15,2015-10-20,14:00,"Løkke Håvard","CK B1 018 aud"
".JU-300/JU-207 for ",2015-10-22,09:15,2015-10-22,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-300/JU-207 gr ",2015-10-22,12:15,2015-10-22,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
"-EX-100 for filosofi ",2015-10-26,12:15,2015-10-26,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-204 for",2015-10-27,10:15,2015-10-27,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-10-27,12:15,2015-10-27,14:00,"Løkke Håvard","CK B1 018 aud"
".JU-300/JU-207 for ",2015-10-29,09:15,2015-10-29,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-300/JU-207 gr ",2015-10-29,12:15,2015-10-29,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
"-EX-100 for filosofi ",2015-11-02,12:15,2015-11-02,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-204 for",2015-11-03,10:15,2015-11-03,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-11-03,12:15,2015-11-03,14:00,"Løkke Håvard","CK B1 018 aud"
"-EX-100 for filosofi ",2015-11-09,12:15,2015-11-09,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-204 for",2015-11-10,10:15,2015-11-10,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-11-10,12:15,2015-11-10,14:00,"Løkke Håvard","CK B1 018 aud"
".JU-300/JU-207 for ",2015-11-12,09:15,2015-11-12,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-300/JU-207 gr ",2015-11-12,12:15,2015-11-12,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
